mean_aT,median_aT,std_aT,min_aT,max_aT,label
0.18,0.03,0.59,0.0,7.06,laying
0.06,0.05,0.03,0.0,0.19,standing
1.73,0.89,2.05,0.02,22.3,climbing_up
0.21,0.04,0.69,0.01,11.75,sitting
0.18,0.03,0.59,0.0,7.06,laying
1.73,0.89,2.05,0.02,22.3,climbing_up
1.73,0.89,2.05,0.02,22.3,climbing_up
5.05,4.42,3.11,0.24,29.61,walking
0.21,0.04,0.69,0.01,11.75,sitting
0.13,0.1,0.12,0.01,1.09,standing
0.13,0.02,0.33,0.01,2.5,sitting
2.2,0.85,2.62,0.04,18.82,climbing_down
3.97,3.77,1.98,0.43,11.67,climbing_down
0.13,0.02,0.33,0.01,2.5,sitting
0.07,0.03,0.39,0.01,7.89,laying
2.2,0.85,2.62,0.04,18.82,climbing_down
2.2,0.85,2.62,0.04,18.82,climbing_down
4.65,4.47,2.26,0.52,16.59,climbing_up
5.13,4.42,3.53,0.43,23.45,walking
3.69,3.56,2.13,0.18,13.79,walking
0.06,0.05,0.03,0.0,0.19,standing
0.06,0.05,0.03,0.0,0.19,standing
2.2,0.85,2.62,0.04,18.82,climbing_down
0.13,0.1,0.12,0.01,1.09,standing
4.43,3.95,2.44,0.55,19.05,climbing_up
0.18,0.03,0.59,0.0,7.06,laying
0.32,0.06,0.71,0.01,4.7,standing
0.18,0.03,0.59,0.0,7.06,laying
5.34,4.81,2.95,0.66,18.02,climbing_down
5.05,4.42,3.11,0.24,29.61,walking
0.02,0.02,0.02,0.0,0.3,sitting
5.34,4.81,2.95,0.66,18.02,climbing_down
0.32,0.06,0.71,0.01,4.7,standing
0.13,0.02,0.33,0.01,2.5,sitting
0.06,0.05,0.03,0.0,0.19,standing
0.18,0.03,0.59,0.0,7.06,laying
2.2,0.85,2.62,0.04,18.82,climbing_down
0.21,0.04,0.69,0.01,11.75,sitting
0.06,0.05,0.03,0.0,0.19,standing
0.13,0.1,0.12,0.01,1.09,standing
0.02,0.02,0.02,0.0,0.3,sitting
4.65,4.47,2.26,0.52,16.59,climbing_up
5.05,4.42,3.11,0.24,29.61,walking
5.34,4.81,2.95,0.66,18.02,climbing_down
0.21,0.04,0.69,0.01,11.75,sitting
5.05,4.42,3.11,0.24,29.61,walking
0.13,0.02,0.33,0.01,2.5,sitting
3.97,3.77,1.98,0.43,11.67,climbing_down
5.13,4.42,3.53,0.43,23.45,walking
5.05,4.42,3.11,0.24,29.61,walking
